Name,Mbar,e_Mbar,jbar,e_jbar,fgas,e_fgas
NGC2976,1400000000.0,333000000.0,84.5,7.6,0.13,0.03
NGC3893,34700000000.0,10500000000.0,1055.0,117.8,0.19,0.04
NGC3949,17300000000.0,5510000000.0,520.9,160.0,0.14,0.03
NGC4085,11200000000.0,3800000000.0,333.4,59.6,0.08,0.02
NGC4138,16100000000.0,5300000000.0,854.3,78.0,0.11,0.03
NGC4217,59000000000.0,20600000000.0,426.7,148.6,0.05,0.01
NGC4389,9830000000.0,3460000000.0,201.3,96.1,0.04,0.01
NGC4414,69000000000.0,18800000000.0,866.0,71.2,0.02,0.01
NGC4605,2300000000.0,630000000.0,113.2,19.6,0.02,0.01
NGC7331,71500000000.0,13900000000.0,2339.0,133.0,0.32,0.06
UGC02916,99600000000.0,30300000000.0,1828.0,378.7,0.24,0.05
UGC03580,13100000000.0,5080000000.0,815.7,223.1,0.45,0.07
UGC05253,116000000000.0,55500000000.0,2316.0,843.1,0.15,0.04
UGC05829,1450000000.0,753000000.0,229.4,104.0,0.82,0.04
UGC06399,1910000000.0,483000000.0,308.7,41.1,0.41,0.07
UGC06786,46100000000.0,22700000000.0,1287.0,378.2,0.12,0.03
UGC06818,1360000000.0,339000000.0,195.1,30.3,0.43,0.07
UGC06973,25000000000.0,8670000000.0,449.5,51.6,0.06,0.01
UGC09133,202000000000.0,75700000000.0,4367.0,903.8,0.22,0.05
UGC12060,1540000000.0,262000000.0,314.0,27.7,0.59,0.07
WLM,86600000.0,12500000.0,39.5,3.5,0.82,0.04
ESO111-G014,84571030010.83223,12332949201.225147,4125.599996212925,522.493074235018,0.6260802725,0.04891586111469981
ESO243-G002,116776625159.27031,31689833133.041264,3523.7999981613943,1075.8541038824592,0.5708154506,0.07781240927327858
NGC289,73681069307.85194,12332949201.225147,5453.1000008054225,522.493074235018,0.5708154506,0.04891586111469981
ESO245-G010,73681069307.85194,12332949201.225147,4092.400000057825,522.493074235018,0.5708154506,0.04891586111469981
ESO417-G018,53360712515.58952,12332949201.225147,3522.6999968266186,522.493074235018,0.6260802725,0.04891586111469981
ESO055-G013,42385920576.13813,12332949201.225147,3749.8000022650567,522.493074235018,0.6260802725,0.04891586111469981
ESO208-G026,16874138911.8716,3210499300.731897,1993.0000013744782,298.10706704657457,0.6260802725,0.0835959367482096
ESO378-G003,39126243193.052505,12332949201.225147,3196.699999664692,522.493074235018,0.6782401482,0.04891586111469981
ESO381-G005,45997343452.23156,12332949201.225147,3388.1999990597265,522.493074235018,0.7263047577,0.04891586111469981
ESO461-G010,39126243193.052505,12332949201.225147,6377.799997397691,522.493074235018,0.6782401482,0.04891586111469981
ESO075-G006,145456371626.08414,31689833133.041264,9764.000005729626,1075.8541038824592,0.7263047577,0.07781240927327858
ESO290-G035,73681069307.85194,12332949201.225147,4117.699996337512,522.493074235018,0.5708154506,0.04891586111469981
