gal,R[kpc],Vrot[km/s],e_Vrot[km/s],hi_l08(Msun/pc^2),hi_err_l08(Msun/pc^2),h2_f16_at_rl08(Msun/pc^2),h2_err_f16_at_rl08(Msun/pc^2),sfrd_l08(1e-4*Msun/yr/kpc^2),sfrd_err_l08(1e-4*Msun/yr/kpc^2)
NGC2403,14.270671223910988,133.71485291188307,1.7694467066426807,5.12584774024448,0.2135769891768533,0.011698191743278597,0.006246161428357398,,
NGC2403,14.684313868082324,133.23779054329643,2.967011211832816,5.12584774024448,0.2135769891768533,0.011698191743278597,0.006246161428357398,,
NGC2403,15.097956512253655,133.91992808200783,2.7235258504642315,5.12584774024448,0.2135769891768533,0.011698191743278597,0.006246161428357398,,
NGC2403,15.511599156424989,134.78616055222335,2.2944158510035466,5.12584774024448,0.2135769891768533,0.011698191743278597,0.006246161428357398,,
NGC2403,15.92524180059632,135.38390482308355,2.8095540821449254,5.12584774024448,0.2135769891768533,0.011698191743278597,0.006246161428357398,,
NGC2403,16.338884444767654,134.33429406428377,2.7530160881982084,5.12584774024448,0.2135769891768533,0.011698191743278597,0.006246161428357398,,
NGC2403,16.752527088938987,135.34484399518422,2.699561112902812,5.12584774024448,0.2135769891768533,0.011698191743278597,0.006246161428357398,,
NGC2403,17.16616973311032,134.4068871525198,2.905585869292948,5.12584774024448,0.2135769891768533,0.011698191743278597,0.006246161428357398,,
NGC2403,17.579812377281655,134.20708994987464,2.8580218060302185,5.12584774024448,0.2135769891768533,0.011698191743278597,0.006246161428357398,,
NGC2403,17.993455021452984,134.70134839521552,2.8964493196278744,5.12584774024448,0.2135769891768533,0.011698191743278597,0.006246161428357398,,
NGC2403,18.40709766562432,134.6930196159647,3.259706643205924,5.12584774024448,0.2135769891768533,0.011698191743278597,0.006246161428357398,,
NGC2403,18.82074030979565,133.523735684114,3.99303909704652,5.12584774024448,0.2135769891768533,0.011698191743278597,0.006246161428357398,,
NGC2841,3.897,309.96,9.4045,1.38239210992654,0.20364925362810918,0.9015032772821626,0.28456522782080057,18.162339652419455,1.7598688717073097
NGC2841,4.307,311.942,7.4295,1.660517225902669,0.20364925362810918,1.2440996906906665,0.39270795884457954,20.666816567759447,1.4821708084112555
NGC2841,4.717,315.66200000000003,7.0945,1.9048492775381605,0.20364925362810918,1.5860028590989288,0.5006318626866934,21.18888035215649,1.1064182900458168
