# slope intercept sigma lnLike
-1.012280551301073750e+00 1.362609178550942546e-01 3.187506411255291994e-01 -2.510896127403243483e+01
-5.989879294135859178e-01 1.759688186204502736e-01 2.621763081714918453e-01 -2.065098888787717613e+01
-4.231137540648964301e-01 1.547095680253008365e-01 2.879640681771477029e-01 -2.054982298024291865e+01
-2.913205226892486843e-01 7.542676830258178422e-02 3.124824587818831323e-01 -2.538581617066332896e+01
-6.111832462420554446e-01 1.719409045747741227e-01 2.850052482894106509e-01 -2.019715474124036447e+01
-6.291915785414190498e-01 1.546991203777456636e-01 2.921911396653150694e-01 -2.058331457825259037e+01
-7.668877774863119834e-01 1.512818072220010746e-01 2.731337938098521989e-01 -2.200853121038295868e+01
-3.266462408430612641e-01 2.059395859994974098e-01 2.923625229429566708e-01 -2.095029350543417124e+01
-7.223624488581381620e-01 2.339236666984498003e-01 2.991647269546305332e-01 -2.159033999249465197e+01
-5.501157971448921158e-01 2.238240292782386898e-01 2.777582887778013432e-01 -2.062591520827239222e+01
-4.223272120620997216e-01 2.629099280636918445e-01 2.978517158955804045e-01 -2.269230626690213271e+01
-4.246190738091195072e-01 2.752741121470863028e-01 2.720757714436984886e-01 -2.395565108189062542e+01
-4.778204924417714383e-01 1.994188623241648362e-01 2.998304194931183386e-01 -2.022782591435050037e+01
-3.679807650472525782e-01 1.763178313218569937e-01 2.657270403460935682e-01 -2.084476759086281916e+01
-6.167571960225107786e-01 1.726471116751265855e-01 3.666802915209655955e-01 -2.327288875281312031e+01
-7.528688650129006232e-01 1.257072834819045748e-01 2.816453772597944383e-01 -2.270980346012559181e+01
-5.309377165102123763e-01 2.069629145867291353e-01 2.761124166499573374e-01 -2.021265716673647361e+01
-5.204397237889446526e-01 1.510162042647058833e-01 2.776649414515852676e-01 -2.058101543005291845e+01
-6.530706253230903480e-01 1.291841539111562853e-01 3.500160912388931567e-01 -2.310851305821470447e+01
-4.368784467851198894e-01 1.087217136770356612e-01 3.246224363732172491e-01 -2.277685692543876428e+01
-2.267589814961226691e-01 1.310797738313695671e-01 2.763844316480740804e-01 -2.312633087249827568e+01
-6.744235175049188014e-01 1.589727703487669452e-01 2.838936240515600451e-01 -2.074581937527525355e+01
-4.564422662514063811e-01 1.825826665128832405e-01 2.895713028334943595e-01 -2.006852596127222910e+01
-3.358028423365355675e-01 1.335134326214190148e-01 3.648339847799718094e-01 -2.415602122905864135e+01
-4.724718382148619389e-01 1.890607041820358269e-01 2.536258588578878537e-01 -2.089152273017235473e+01
-6.903615395273233757e-01 1.344566182771003426e-01 3.091945013665771125e-01 -2.166561251443621217e+01
4.687851630831074701e-02 2.042105938004303844e-01 2.973846859983015900e-01 -2.631727051622434743e+01
-4.622005639228919383e-01 1.546624665065285675e-01 2.893252938318987000e-01 -2.043226085233909828e+01
-8.200555918793069887e-01 2.161298023057237616e-01 2.887366751779435470e-01 -2.189953495089605795e+01
-4.056637023481975413e-01 1.734528236457465455e-01 2.996472143379483311e-01 -2.040631670021480559e+01
-3.930859789001001081e-01 2.312734201919030286e-01 2.947501252371931280e-01 -2.124249921848350553e+01
-5.146806298224525511e-01 1.921716967244842811e-01 2.793194049600006834e-01 -2.000828645812264739e+01
-5.910951961197432603e-01 1.912248362619059783e-01 2.793252700287155443e-01 -2.009003044169450902e+01
-6.649053430457844138e-01 2.178597692332637226e-01 3.092385723974747647e-01 -2.098025478620887796e+01
-5.956434429544797959e-01 1.427912815737307772e-01 3.036695795893292193e-01 -2.090974566832744941e+01
-2.396683900085687935e-01 1.552266342005606814e-01 2.581204799661098170e-01 -2.289758758453401200e+01
-4.675244820897334064e-01 1.157412733612969841e-01 3.099345172657830272e-01 -2.205202333408653814e+01
-3.819199206560731641e-01 1.675169809966158829e-01 2.609793587848844854e-01 -2.108713054295481371e+01
-3.109564141194315900e-01 2.106209898796789770e-01 2.774462824655321569e-01 -2.123398473570945200e+01
-6.135878762396169694e-01 2.529935371772230601e-01 3.071482979014011350e-01 -2.205679318099716824e+01
-7.567499022583199508e-01 1.819138894614197866e-01 2.881314180118800250e-01 -2.098293869712373905e+01
-7.357009426683729370e-01 1.564642120272634607e-01 3.337966087959929884e-01 -2.206672318286310031e+01
-4.034281911339661630e-01 1.731409849410345259e-01 2.956447806333443729e-01 -2.036264206532808529e+01
-3.304083777257298959e-01 1.558421981360315622e-01 2.462524604284062335e-01 -2.280064049925439917e+01
-9.294803371456731300e-01 1.906626900715958084e-01 2.967298644029044419e-01 -2.291035015609300274e+01
-3.889570596697178306e-01 2.111668288511846236e-01 3.281920156614885342e-01 -2.163759989521136973e+01
-4.234559022098094982e-01 1.165232380253952704e-01 2.816461619639026304e-01 -2.224426034447312972e+01
-7.077432314701543881e-01 1.938485418708862928e-01 3.274709452289714107e-01 -2.143541601726408174e+01
-5.491229601530760451e-01 8.946531148723496640e-02 3.007407474762033295e-01 -2.359322869715450821e+01
-6.929105940208332148e-01 1.737108064638357152e-01 3.085202405321765817e-01 -2.076929284221282401e+01
-7.957202728282655180e-01 1.778725937606592256e-01 2.883943158387923811e-01 -2.137886184731879524e+01
-5.908630035106539058e-01 1.629750851499718323e-01 2.800957359674124958e-01 -2.033064909378407492e+01
